opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPPIE0028,28.0,ACCIE028,Connacht Rugby - Stadium WiFi,Closed Won,90000.00,100.0,2024-04-15,2023-09-12,Web,New Customer,10028
OPPIE0029,29.0,ACCIE029,Aviva Stadium - Premium WiFi Upgrade,Closed Won,210000.00,100.0,2024-06-11,2023-10-25,Web,Existing Customer - Upgrade,10029
OPPIE0030,30.0,ACCIE030,Irish Times - Contact Centre Modernisation,Closed Won,155000.00,100.0,2024-02-19,2023-08-22,Web,Existing Customer - Replacement,10030
OPPIE0031,31.0,ACCIE002,AIB - AI Agent for Contact Centre,Closed Won,260000.00,100.0,2024-07-25,2023-12-20,Partner Referral,Existing Customer - Upgrade,10031
OPPIE0032,32.0,ACCIE004,Musgrave - Store Voice Migration,Closed Won,120000.00,100.0,2024-03-05,2023-09-15,Web,Existing Customer - Replacement,10032
OPPIE0033,33.0,ACCIE007,An Post - Logistics Hub DIA,Closed Won,95000.00,100.0,2024-04-28,2023-11-02,Web,Existing Customer - Upgrade,10033
OPPIE0034,34.0,ACCIE010,Eir - B2B Wholesale Enablement,Closed Won,310000.00,100.0,2024-05-30,2023-12-05,Referral,Existing Customer - Upgrade,10034
OPPIE0035,35.0,ACCIE011,Vodafone IE - Cloud Connect Azure,Closed Won,260000.00,100.0,2024-06-25,2023-10-29,Partner Referral,Existing Customer - Upgrade,10035
OPPIE0036,36.0,ACCIE015,HSE - Clinic DIA Rollout,Closed Won,410000.00,100.0,2024-07-18,2023-12-28,Event,Existing Customer - Upgrade,10036
OPPIE0037,37.0,ACCIE016,Bon Secours - Contact Centre AI,Closed Won,155000.00,100.0,2024-03-18,2023-09-14,Web,New Customer,10037
OPPIE0038,38.0,ACCIE018,AbbVie - Redundant Fibre Paths,Closed Won,190000.00,100.0,2024-02-08,2023-08-24,Referral,Existing Customer - Upgrade,10038
OPPIE0039,39.0,ACCIE019,Medtronic - DIA + WiFi 6 Upgrade,Closed Won,205000.00,100.0,2024-04-02,2023-10-08,Referral,Existing Customer - Upgrade,10039
OPPIE0040,40.0,ACCIE020,Stripe - DIA + DDoS Protection,Closed Won,230000.00,100.0,2024-05-14,2023-11-21,Web,New Customer,10040
OPPIE0041,41.0,ACCIE021,HubSpot - International DIA Mesh,Closed Won,275000.00,100.0,2024-06-28,2023-12-09,Web,Existing Customer - Upgrade,10041
OPPIE0042,42.0,ACCIE022,IDA Ireland - Investor WiFi Pods,Closed Won,60000.00,100.0,2024-03-25,2023-09-08,Web,New Customer,10042
OPPIE0043,43.0,ACCIE023,Enterprise Ireland - Remote Office 1Gb,Closed Won,85000.00,100.0,2024-02-06,2023-08-21,Web,New Customer,10043
OPPIE0044,44.0,ACCIE024,Heineken - DIA for Breweries,Closed Won,145000.00,100.0,2024-05-06,2023-11-01,Web,Existing Customer - Upgrade,10044
OPPIE0045,45.0,ACCIE025,Guinness Storehouse - Guest WiFi Pods,Closed Won,105000.00,100.0,2024-04-18,2023-10-19,Event,New Customer,10045
OPPIE0046,46.0,ACCIE026,Smurfit Kappa - Backbone Fibre,Closed Won,320000.00,100.0,2024-07-02,2023-12-18,Partner Referral,Existing Customer - Upgrade,10046
OPPIE0047,47.0,ACCIE027,CityJet - Crew Comm Upgrade,Closed Won,95000.00,100.0,2024-03-12,2023-09-17,Phone Inquiry,New Customer,10047
OPPIE0048,48.0,ACCIE028,Connacht Rugby - Venue WiFi Pods,Closed Won,65000.00,100.0,2024-02-20,2023-08-25,Web,New Customer,10048
OPPIE0049,49.0,ACCIE029,Aviva Stadium - Redundant Backhaul,Closed Won,275000.00,100.0,2024-06-05,2023-11-14,Web,Existing Customer - Upgrade,10049
OPPIE0050,50.0,ACCIE030,Irish Times - Cloud Contact Centre AI,Closed Won,145000.00,100.0,2024-04-09,2023-09-30,Web,Existing Customer - Replacement,10050
