customer_key,customer_name,industry,vertical,address,city,state,zip
29,Aviva Stadium,Entertainment,Enterprise,Lansdowne Rd,Dublin,Dublin,D04 K5F9
30,The Irish Times,Media & Publishing,Enterprise,Tara Street,Dublin,Dublin,D02 AY89
31,Carnegie Court Hotel,Hospitality,SMB,North Street,Swords,Dublin,K67
32,Lidl Ireland,Retail,Enterprise,Main Street,Tallaght,Dublin,D24
33,Aldi Ireland,Retail,Enterprise,Newbridge Road,Naas,Kildare,W91
34,Penneys (Primark IE),Retail,Enterprise,Mary Street,Dublin,Dublin,D01
35,Aramark Ireland,Facilities,Enterprise,EastPoint,Dublin,D03
36,UPS Ireland,Transport & Logistics,Enterprise,Blanchardstown,Dublin,D15
37,DHL Express Ireland,Transport & Logistics,Enterprise,North Park,Dublin,D11
38,Analog Devices Limerick,Technology,Enterprise,Raheen Business Park,Limerick,Limerick,V94
39,Johnson & Johnson Vision,Healthcare,Enterprise,National Technology Park,Limerick,V94
40,Stryker Ireland,Medical Devices,Enterprise,Carrigtwohill,Cork,T45
41,Fidelity Investments Ireland,Financial Services,Enterprise,Aungier Street,Dublin,Dublin,D02
42,Morgan McKinley,Recruitment,SMB,Oliver Plunkett St,Cork,Cork,T12
43,Grant Thornton Ireland,Professional Services,Enterprise,City Quay,Dublin,Dublin,D02
44,KPMG Ireland,Professional Services,Enterprise,1 Stokes Place,Dublin,Dublin,D02 DE03
45,Deloitte Ireland,Professional Services,Enterprise,Earlsfort Terrace,Dublin,Dublin,D02 AY28
46,PwC Ireland,Professional Services,Enterprise,Spencer Dock,Dublin,Dublin,D01 F9C9
47,Accenture Ireland,Technology,Enterprise,Grand Canal Square,Dublin,Dublin,D02
48,Capgemini Ireland,Technology,Enterprise,Marine House,Dublin,Dublin,D02
49,CGI Ireland,Technology,Enterprise,Burlington Plaza,Dublin,Dublin,D04
50,Bank of Ireland,Financial Services,Enterprise,Baggot Plaza,Dublin,Dublin,D04
51,Ulster Bank Ireland,Financial Services,Enterprise,Georges Quay,Dublin,Dublin,D02
52,Allied Irish Pensioners,Financial Services,SMB,Main Street,Dundalk,Louth,A91
53,Fáilte Ireland,Public Services,Public Sector,88-95 Amiens Street,Dublin,Dublin,D01 WR86
54,Irish Water,Utilities,Public Sector,Colvill House,Dublin,Dublin,D01
55,ESB Networks,Utilities,Public Sector,Fitzwilliam St Lower,Dublin,Dublin,D02
56,EirGrid,Utilities,Public Sector,The Oval,Dublin,Dublin,D04
57,Gas Networks Ireland,Utilities,Public Sector,Gasworks Road,Cork,Cork,T12 RX96
58,Shannon Airport,Transport & Logistics,Enterprise,Shannon,Clare,V14
59,Cork Airport,Transport & Logistics,Enterprise,Kinsale Rd,Cork,Cork,T12
60,Dublin Airport (DAA),Transport & Logistics,Enterprise,Collinstown,Dublin,K67
61,Laya Healthcare,Insurance,Enterprise,Eastgate Road,Cork,Cork,T45
62,Vhi Healthcare,Insurance,Enterprise,Abbey Street Lower,Dublin,Dublin,D01
63,Irish Aviation Authority,Public Services,Public Sector,The Times Building,Dublin,Dublin,D02
64,Met Éireann,Public Services,Public Sector,Glasnevin Hill,Dublin,Dublin,D09
65,TUS Midlands Midwest,Education,Public Sector,Clara Rd,Athlone,Westmeath,N37
66,University of Galway,Education,Public Sector,University Rd,Galway,Galway,H91
67,University of Limerick,Education,Public Sector,Castletroy,Limerick,Limerick,V94
68,MTU Cork,Education,Public Sector,Bishopstown,Cork,Cork,T12
69,MTU Kerry,Education,Public Sector,Dromtacker,Tralee,Kerry,V92
70,South East Technological University,Education,Public Sector,Cork Road,Waterford,Waterford,X91
71,Technological University Dublin,Education,Public Sector,Grangegorman,Dublin,Dublin,D07
72,Inland Fisheries Ireland,Public Services,Public Sector,Citywest Business Campus,Dublin,Dublin,D24
73,Irish Red Cross,Charity,SMB,Merrion Square,Dublin,Dublin,D02
74,Barnardos Ireland,Charity,SMB,Christchurch Square,Dublin,Dublin,D08
75,Focus Ireland,Charity,SMB,29 Eustace Street,Dublin,Dublin,D02
76,St Vincent de Paul,Charity,SMB,91-92 Sean McDermott St,Dublin,Dublin,D01
77,ISPCC Childline,Charity,SMB,Lower Baggot Street,Dublin,Dublin,D02
78,Concern Worldwide,Charity,SMB,47 Bath Avenue,Dublin,Dublin,D04
79,GOAL Global,Charity,SMB,Merrion Square,Dublin,Dublin,D02
80,Irish Cancer Society,Charity,SMB,43-45 Northumberland Rd,Dublin,Dublin,D04
